المنطقة,المدينة,المدينة / الحي,الرقم المرجعي للصفقة,تاريخ الصفقة ميلادي,تاريخ الصفقة هجري,تصنيف العقار,عدد العقارات,السعر,المساحة
منطقة مكة المكرمه,الطائف,الطائف/ الجودية ,34202829,2026/01/01,1447/07/12,سكني,1,"274,750",760.50
منطقة مكة المكرمه,الطائف,الطائف/ الجودية ,34250896,2026/01/01,1447/07/12,سكني,1,"40,000",750.00
منطقة مكة المكرمه,الطائف,الطائف/ الكدى ,34250931,2026/01/01,1447/07/12,تجاري,1,"2,500,000","1,250.22"
منطقة الرياض,الرياض,الرياض/البديعة,34252224,2026/01/01,1447/07/12,تجاري,1,"230,000",142.31
منطقة الرياض,الرياض,الرياض/العزيزية,34256013,2026/01/01,1447/07/12,سكني,1,"750,000",176.85
منطقة مكة المكرمه,الطائف,الطائف/ الحوية ,34252083,2026/01/01,1447/07/12,سكني,1,"700,000",828.62
منطقة الرياض,الرياض,الرياض/أحد,34250828,2026/01/01,1447/07/12,سكني,1,"459,000",155.31
منطقة الرياض,الدلم,الدلم/ حي الصناعية ,34247744,2026/01/01,1447/07/12,سكني,1,"300,000","1,200.00"
منطقة عسير,احد رفيده,احد رفيده/ العزيزية ,34258694,2026/01/01,1447/07/12,سكني,1,"340,240",340.24
منطقة عسير,احد رفيده,احد رفيده/ العزيزية ,34258476,2026/01/01,1447/07/12,سكني,1,"343,240",343.24
منطقة عسير,احد رفيده,احد رفيده/ العزيزية ,34258468,2026/01/01,1447/07/12,سكني,1,"459,360",459.36
منطقة الرياض,الرياض,الرياض/العريجاء,34257689,2026/01/01,1447/07/12,سكني,1,"750,000",400.00
منطقة مكة المكرمه,الطائف,الطائف/ المليساء ,34250952,2026/01/01,1447/07/12,سكني,1,"50,000",138.41
منطقة مكة المكرمه,الطائف,الطائف/ المليساء ,34252620,2026/01/01,1447/07/12,سكني,1,"849,597",699.86
منطقة الرياض,الرياض,الرياض/الشفاء,34256898,2026/01/01,1447/07/12,سكني,1,"1,100,000",297.70
منطقة عسير,بيشه,بيشه/أخرى,34252423,2026/01/01,1447/07/12,سكني,1,"450,000",600.00
منطقة الرياض,الرياض,الرياض/الخزامى,34248750,2026/01/01,1447/07/12,سكني,1,"3,500,000",414.00
منطقة الرياض,الرياض,الرياض/الشفاء,34251140,2026/01/01,1447/07/12,سكني,1,"850,000",600.00
منطقة الرياض,الرياض,الرياض/الشفاء,34163116,2026/01/01,1447/07/12,سكني,1,"1,056,100",500.00
منطقة الرياض,وادي الدواسر,وادي الدواسر/ الورود ,34252039,2026/01/01,1447/07/12,سكني,1,"50,000",630.00
منطقة الرياض,الافلاج,الافلاج/ الملك فهد ,34255006,2026/01/01,1447/07/12,سكني,1,"100,000",625.00
منطقة مكة المكرمه,الطائف,الطائف/ قروى ,34266611,2026/01/01,1447/07/12,سكني,1,"490,152",425.37
منطقة مكة المكرمه,الطائف,الطائف/ قروى ,34266085,2026/01/01,1447/07/12,سكني,1,"483,676",419.75
منطقة مكة المكرمه,الطائف,الطائف/ قروى ,34265785,2026/01/01,1447/07/12,سكني,1,"569,015",493.81
منطقة مكة المكرمه,الطائف,الطائف/ قروى ,34266277,2026/01/01,1447/07/12,سكني,1,"506,929",439.93
منطقة الرياض,الافلاج,الافلاج/ الاندلس ,34245920,2026/01/01,1447/07/12,سكني,1,"40,000",660.00
منطقة الرياض,الافلاج,الافلاج/ اليمامة ,34246012,2026/01/01,1447/07/12,سكني,1,"5,000",420.00
منطقة الرياض,الرياض,الرياض/الصفاء,34238740,2026/01/01,1447/07/12,تجاري,1,"2,038,713",674.68
منطقة الرياض,الرياض,الرياض/الصفاء,34239347,2026/01/01,1447/07/12,تجاري,1,"2,039,680",675.00
منطقة الرياض,الرياض,الرياض/الصفاء,34239430,2026/01/01,1447/07/12,تجاري,1,"2,211,708",731.93
منطقة الرياض,الرياض,الرياض/الصفاء,34266914,2026/01/01,1447/07/12,تجاري,1,"2,077,452",687.50
منطقة الرياض,الرياض,الرياض/الصفاء,34264649,2026/01/01,1447/07/12,سكني,1,"944,296",312.50
منطقة الرياض,الرياض,الرياض/الصفاء,34266633,2026/01/01,1447/07/12,سكني,1,"944,296",312.50
منطقة الرياض,الرياض,الرياض/الصفاء,34266672,2026/01/01,1447/07/12,سكني,1,"1,964,136",650.00
منطقة الرياض,الرياض,الرياض/الصفاء,34263374,2026/01/01,1447/07/12,سكني,1,"2,176,686",720.34
منطقة الرياض,الرياض,الرياض/الصفاء,34265782,2026/01/01,1447/07/12,سكني,1,"2,136,013",706.88
منطقة الرياض,الرياض,الرياض/الصفاء,34266041,2026/01/01,1447/07/12,سكني,1,"1,888,804",625.07
منطقة الرياض,الرياض,الرياض/الصفاء,34239258,2026/01/01,1447/07/12,تجاري,1,"1,733,373",442.67
منطقة الرياض,الرياض,الرياض/الصفاء,34264038,2026/01/01,1447/07/12,سكني,1,"944,296",312.50
منطقة الرياض,الرياض,الرياض/الصفاء,34265387,2026/01/01,1447/07/12,سكني,1,"944,296",312.50
منطقة الرياض,الرياض,الرياض/الصفاء,34266331,2026/01/01,1447/07/12,سكني,1,"1,054,167",348.86
منطقة الرياض,الرياض,الرياض/الصفاء,34265512,2026/01/01,1447/07/12,سكني,1,"944,296",312.50
منطقة الرياض,الرياض,الرياض/الصفاء,34266274,2026/01/01,1447/07/12,سكني,1,"2,093,165",692.70
منطقة الرياض,الرياض,الرياض/الصفاء,34238745,2026/01/01,1447/07/12,سكني,1,"1,131,274",400.00
منطقة الرياض,الرياض,الرياض/الصفاء,34238519,2026/01/01,1447/07/12,سكني,1,"1,696,911",600.00
منطقة الرياض,الرياض,الرياض/الصفاء,34257871,2026/01/01,1447/07/12,سكني,1,"1,767,615",625.00
منطقة الرياض,الرياض,الرياض/الصفاء,34260658,2026/01/01,1447/07/12,سكني,1,"1,113,598",393.75
منطقة الرياض,الرياض,الرياض/الصفاء,34262838,2026/01/01,1447/07/12,سكني,1,"5,324,339","2,053.94"
منطقة الرياض,الرياض,الرياض/الصفاء,34263201,2026/01/01,1447/07/12,سكني,1,"5,185,472","2,000.37"
منطقة الرياض,الرياض,الرياض/الصفاء,34263558,2026/01/01,1447/07/12,سكني,1,"1,620,160",625.00
منطقة الرياض,الرياض,الرياض/الصفاء,34260962,2026/01/01,1447/07/12,سكني,1,"1,131,274",400.00
منطقة الرياض,الرياض,الرياض/الصفاء,34260428,2026/01/01,1447/07/12,سكني,1,"1,767,615",625.00
منطقة الرياض,الرياض,الرياض/الصفاء,34238604,2026/01/01,1447/07/12,سكني,1,"1,696,911",600.00
منطقة الرياض,الرياض,الرياض/الصفاء,34261043,2026/01/01,1447/07/12,سكني,1,"1,527,220",540.00
منطقة الرياض,الرياض,الرياض/الصفاء,34259994,2026/01/01,1447/07/12,سكني,1,"1,767,615",625.00
منطقة الرياض,الرياض,الرياض/الصفاء,34238839,2026/01/01,1447/07/12,سكني,1,"1,858,117",657.00
منطقة الرياض,الرياض,الرياض/الصفاء,34261305,2026/01/01,1447/07/12,سكني,1,"1,244,283",479.99
منطقة الرياض,الرياض,الرياض/الصفاء,34263401,2026/01/01,1447/07/12,سكني,1,"955,895",368.75
منطقة الرياض,الرياض,الرياض/الصفاء,34238770,2026/01/01,1447/07/12,سكني,1,"938,335",331.78
منطقة الرياض,الرياض,الرياض/الصفاء,34239020,2026/01/01,1447/07/12,سكني,1,"830,779",293.75
منطقة الرياض,الرياض,الرياض/الصفاء,34238657,2026/01/01,1447/07/12,سكني,1,"1,357,529",480.00
منطقة الرياض,الرياض,الرياض/الصفاء,34260432,2026/01/01,1447/07/12,سكني,1,"1,696,911",600.00
منطقة الرياض,الرياض,الرياض/الصفاء,34259254,2026/01/01,1447/07/12,سكني,1,"4,532,742","1,748.57"
منطقة الرياض,الرياض,الرياض/الصفاء,34262447,2026/01/01,1447/07/12,سكني,1,"4,674,435","1,803.20"
منطقة الرياض,الرياض,الرياض/الصفاء,34238902,2026/01/01,1447/07/12,سكني,1,"1,131,274",400.00
منطقة الرياض,الرياض,الرياض/الصفاء,34238458,2026/01/01,1447/07/12,سكني,1,"1,357,529",480.00
منطقة الرياض,الرياض,الرياض/الصفاء,34262789,2026/01/01,1447/07/12,سكني,1,"2,929,795",625.00
منطقة الرياض,الرياض,الرياض/الصفاء,34262287,2026/01/01,1447/07/12,سكني,1,"1,357,529",480.00
منطقة الرياض,الرياض,الرياض/الصفاء,34263760,2026/01/01,1447/07/12,سكني,1,"1,244,283",480.00
منطقة الرياض,الرياض,الرياض/الصفاء,34258144,2026/01/01,1447/07/12,سكني,1,"9,850,574","3,800.00"
منطقة الرياض,الرياض,الرياض/الصفاء,34261325,2026/01/01,1447/07/12,سكني,1,"1,357,529",480.00
منطقة الرياض,الرياض,الرياض/الصفاء,34238694,2026/01/01,1447/07/12,سكني,1,"1,424,698",503.75
منطقة الرياض,الرياض,الرياض/الصفاء,34239077,2026/01/01,1447/07/12,سكني,1,"1,357,529",480.00
منطقة الرياض,الرياض,الرياض/الصفاء,34262529,2026/01/01,1447/07/12,سكني,1,"1,739,334",615.00
منطقة الرياض,الرياض,الرياض/الصفاء,34261679,2026/01/01,1447/07/12,سكني,1,"1,696,911",600.00
منطقة الرياض,الرياض,الرياض/الصفاء,34261468,2026/01/01,1447/07/12,سكني,1,"1,696,911",600.00
منطقة مكة المكرمه,الطائف,الطائف/ النزلة ,34245118,2026/01/01,1447/07/12,سكني,1,"120,000",330.00
منطقة عسير,بيشه,بيشه/ الديلمى ,34248728,2026/01/01,1447/07/12,سكني,1,"20,000",630.00
منطقة الرياض,الرياض,الرياض/الخليج,34264766,2026/01/01,1447/07/12,سكني,1,"3,000,000",576.86
منطقة مكة المكرمه,الطائف,الطائف/ السداد ,34210486,2026/01/01,1447/07/12,سكني,1,"888,700",516.00
منطقة عسير,بيشه,بيشه/ جميع ,34251036,2026/01/01,1447/07/12,سكني,1,"5,000",909.80
منطقة الرياض,الرياض,الرياض/القيروان,34257465,2026/01/01,1447/07/12,سكني,1,"599,000",144.26
منطقة عسير,محايل عسير,محايل عسير/ تيه بنى ثوعه ,34246247,2026/01/01,1447/07/12,سكني,1,"10,000",320.00
منطقة عسير,محايل عسير,محايل عسير/ تيه بنى ثوعه ,34246049,2026/01/01,1447/07/12,سكني,1,"5,000",320.00
منطقة عسير,محايل عسير,محايل عسير/ تية ,34246011,2026/01/01,1447/07/12,سكني,1,"10,000",450.00
منطقة مكة المكرمه,الطائف,الطائف/ القلت ,34263958,2026/01/01,1447/07/12,سكني,1,"1,400,000","1,355.11"
منطقة مكة المكرمه,الطائف,الطائف/ القلت ,34261328,2026/01/01,1447/07/12,سكني,1,"600,000",582.10
منطقة الرياض,الرياض,الرياض/العارض,34262651,2026/01/01,1447/07/12,سكني,1,"21,540,959","3,077.28"
منطقة الرياض,الرياض,الرياض/الفاروق,34257647,2026/01/01,1447/07/12,سكني,1,"6,954,933","2,710.58"
منطقة الرياض,الرياض,الرياض/الفاروق,34265378,2026/01/01,1447/07/12,سكني,1,"10,408,248","4,161.33"
منطقة الرياض,الرياض,الرياض/الفاروق,34264006,2026/01/01,1447/07/12,تجاري,1,"7,048,267","2,640.00"
منطقة الرياض,الرياض,الرياض/الفاروق,34254796,2026/01/01,1447/07/12,سكني,1,"900,000",211.29
منطقة الرياض,الرياض,الرياض/الفاروق,34264575,2026/01/01,1447/07/12,تجاري,1,"9,023,125","3,609.21"
منطقة الرياض,الرياض,الرياض/الفاروق,34264777,2026/01/01,1447/07/12,تجاري,1,"9,942,943","3,975.85"
منطقة الرياض,الرياض,الرياض/الفاروق,34265454,2026/01/01,1447/07/12,سكني,1,"5,986,586","2,288.26"
منطقة الرياض,الرياض,الرياض/العليا,34263635,2026/01/01,1447/07/12,سكني,1,"1,600,000",157.30
منطقة عسير,محايل عسير,محايل عسير/أخرى,34254438,2026/01/01,1447/07/12,سكني,1,"5,000",500.00
منطقة الرياض,الرياض,الرياض/المعيزلية,34261080,2026/01/01,1447/07/12,تجاري,1,"3,465,000","1,155.00"
منطقة الرياض,الرياض,الرياض/المعيزلية,34261404,2026/01/01,1447/07/12,تجاري,1,"3,465,000","1,155.00"
منطقة الرياض,الرياض,الرياض/المعيزلية,34258671,2026/01/01,1447/07/12,تجاري,1,"3,465,000","1,155.00"
منطقة الرياض,الرياض,الرياض/المعيزلية,34258072,2026/01/01,1447/07/12,تجاري,1,"4,442,508","1,400.00"
منطقة الرياض,الرياض,الرياض/المعيزلية,34261785,2026/01/01,1447/07/12,تجاري,1,"2,887,500","1,155.00"
منطقة الرياض,الرياض,الرياض/المعيزلية,34259496,2026/01/01,1447/07/12,سكني,1,"3,500,000","1,400.00"
منطقة الرياض,الرياض,الرياض/المعيزلية,34262344,2026/01/01,1447/07/12,سكني,1,"2,887,500","1,155.00"
منطقة الرياض,الرياض,الرياض/المعيزلية,34262862,2026/01/01,1447/07/12,سكني,1,"2,887,500","1,155.00"
منطقة الرياض,الرياض,الرياض/الملز,34266121,2026/01/01,1447/07/12,سكني,1,"3,092,401",984.25
منطقة الشرقية,قرية العليا,قرية العليا/أخرى,34251338,2026/01/01,1447/07/12,سكني,1,"18,500","1,062.06"
منطقة القصيم,الاسياح,الاسياح/أخرى,34246266,2026/01/01,1447/07/12,سكني,1,"32,000",418.00
منطقة الباحة,بلجرشي,بلجرشي/ ملحق الشطيبة  ب  ل  351 ,34259185,2026/01/01,1447/07/12,سكني,1,"220,000",450.00
منطقة الرياض,الرياض,الرياض/الخير,34256748,2026/01/01,1447/07/12,سكني,1,"1,155,000",828.58
منطقة الرياض,مرات,مرات/ الفيصليه ,34251019,2026/01/01,1447/07/12,سكني,1,"150,000",806.82
منطقة عسير,بيشه,بيشه/ شرق المدينه ,34250981,2026/01/01,1447/07/12,سكني,1,"30,000",600.00
منطقة مكة المكرمه,رابغ,رابغ/ الميثب شرق طريق المواصلات المخطط رقم  ر  5  17 ,34258486,2026/01/01,1447/07/12,سكني,1,"200,000",621.00
منطقة مكة المكرمه,رابغ,رابغ/ الميثب شرق طريق المواصلات المخطط رقم  ر  5  17 ,34262631,2026/01/01,1447/07/12,سكني,1,"200,000",621.00
منطقة الشرقية,الدمام,الدمام/ غرناطة ,34221073,2026/01/01,1447/07/12,سكني,1,"600,000",400.00
منطقة الرياض,الرياض,الرياض/منفوحة,34261578,2026/01/01,1447/07/12,سكني,1,"190,000",116.64
منطقة الشرقية,الدمام,الدمام/ بن خلدون ,34258832,2026/01/01,1447/07/12,سكني,1,"950,000",281.43
منطقة الرياض,ثادق,ثادق/ الجامعه ,34205176,2026/01/01,1447/07/12,سكني,1,"142,000",750.00
منطقة الرياض,الرياض,الرياض/الخير,34251788,2026/01/01,1447/07/12,سكني,1,"650,000",400.11
منطقة عسير,طريب,طريب/أخرى,34250490,2026/01/01,1447/07/12,سكني,1,"10,000",671.00
منطقة الرياض,الرياض,الرياض/ الشميسي ,34250536,2026/01/01,1447/07/12,سكني,1,"60,000",98.49
منطقة الرياض,عفيف,عفيف/ الشلال ,34246045,2026/01/01,1447/07/12,سكني,1,"10,000",660.00
منطقة الرياض,عفيف,عفيف/ حى غرناطة ,34246183,2026/01/01,1447/07/12,سكني,1,"250,000",660.00
منطقة الرياض,الرياض,الرياض/عريض,34252470,2026/01/01,1447/07/12,سكني,1,"250,000",450.00
منطقة الرياض,الرياض,الرياض/عريض,34252473,2026/01/01,1447/07/12,سكني,1,"250,000",450.00
منطقة الرياض,الرياض,الرياض/عريض,34259114,2026/01/01,1447/07/12,سكني,1,"450,000",500.00
منطقة الرياض,الرياض,الرياض/عريض,34252765,2026/01/01,1447/07/12,سكني,1,"500,000",900.00
منطقة الرياض,الرياض,الرياض/عريض,34255009,2026/01/01,1447/07/12,سكني,1,"210,000",262.50
منطقة الرياض,الرياض,الرياض/عريض,34252020,2026/01/01,1447/07/12,سكني,1,"200,000",400.00
منطقة المدينة المنوره,العلا,العلا/ جنوب حى العزيزية ,34246042,2026/01/01,1447/07/12,سكني,1,"5,000",607.53
منطقة الرياض,الرياض,الرياض/النسيم,34209711,2026/01/01,1447/07/12,سكني,1,"700,000",437.50
منطقة مكة المكرمه,جده,جده/ مشرفة ,34258619,2026/01/01,1447/07/12,سكني,1,"500,000",139.66
منطقة مكة المكرمه,جده,جده/ الاصالة ,34265580,2026/01/01,1447/07/12,سكني,1,"1,500,000",600.00
منطقة مكة المكرمه,جده,جده/ المروة ,34250120,2026/01/01,1447/07/12,سكني,1,"560,000",143.73
منطقة مكة المكرمه,جده,جده/ المروة ,34256430,2026/01/01,1447/07/12,سكني,1,"580,000",165.42
منطقة مكة المكرمه,جده,جده/ الواحة ,34254852,2026/01/01,1447/07/12,سكني,1,"435,000",134.33
منطقة مكة المكرمه,جده,جده/ الواحة ,34238632,2026/01/01,1447/07/12,سكني,1,"329,000",103.08
منطقة مكة المكرمه,جده,جده/ الواحة ,34261964,2026/01/01,1447/07/12,سكني,1,"349,000",103.08
منطقة مكة المكرمه,جده,جده/ الواحة ,34261791,2026/01/01,1447/07/12,سكني,1,"349,000",104.58
منطقة مكة المكرمه,جده,جده/ الواحة ,34263275,2026/01/01,1447/07/12,سكني,1,"329,000",104.58
منطقة مكة المكرمه,جده,جده/ الواحة ,34246473,2026/01/01,1447/07/12,سكني,1,"499,000",188.43
منطقة مكة المكرمه,جده,جده/ النسيم ,34254661,2026/01/01,1447/07/12,سكني,1,"700,000",213.54
منطقة الشرقية,النعيريه,النعيريه/ الخليج ,34246120,2026/01/01,1447/07/12,سكني,1,"200,000",745.50
منطقة الشرقية,النعيريه,النعيريه/أخرى,34246129,2026/01/01,1447/07/12,سكني,1,"20,000",939.75
منطقة الشرقية,الدمام,الدمام/ المنتزة ,34245938,2026/01/01,1447/07/12,سكني,1,"1,646,500",336.36
منطقة الرياض,ضرماء,ضرماء/أخرى,34251847,2026/01/01,1447/07/12,زراعي,1,"382,500","2,250.00"
منطقة مكة المكرمه,مكة المكرمة,مكة المكرمة/ الزهراء ,34248638,2026/01/01,1447/07/12,سكني,1,"1,249,592",624.80
منطقة مكة المكرمه,مكة المكرمة,مكة المكرمة/ الزهراء ,34248134,2026/01/01,1447/07/12,سكني,1,"1,005,377",502.69
منطقة مكة المكرمه,مكة المكرمة,مكة المكرمة/ الزهراء ,34249246,2026/01/01,1447/07/12,سكني,1,"825,567",412.78
منطقة مكة المكرمه,مكة المكرمة,مكة المكرمة/ القشاشية الجديد ,34257196,2026/01/01,1447/07/12,سكني,1,"500,000",572.83
منطقة الجوف,سكاكا,سكاكا/ الطوير ,34251520,2026/01/01,1447/07/12,سكني,1,"215,000",446.94
منطقة مكة المكرمه,جده,جده/ مريخ ,34252609,2026/01/01,1447/07/12,سكني,1,"425,125",125.66
منطقة مكة المكرمه,جده,جده/ مريخ ,34251896,2026/01/01,1447/07/12,سكني,1,"429,020",125.66
منطقة حائل,الغزاله,الغزاله/ الشرقى ,34246087,2026/01/01,1447/07/12,سكني,1,"80,000",900.00
منطقة الشرقية,الدمام,الدمام/ النور ,34258578,2026/01/01,1447/07/12,سكني,1,"445,000",174.75
منطقة الشرقية,الخبر,الخبر/ التحلية ,34245932,2026/01/01,1447/07/12,سكني,1,"2,011,625",875.00
منطقة الرياض,السليل,السليل/أخرى,34251323,2026/01/01,1447/07/12,سكني,1,"5,000",630.00
منطقة عسير,خميس مشيط,خميس مشيط/ النور ,34261738,2026/01/01,1447/07/12,سكني,1,"417,750",625.00
منطقة مكة المكرمه,جده,جده/ الأمواج ,34257078,2026/01/01,1447/07/12,سكني,1,"1,376,100",417.00
منطقة مكة المكرمه,جده,جده/ الرياض ,34259500,2026/01/01,1447/07/12,سكني,1,"830,000",625.00
منطقة مكة المكرمه,جده,جده/ الرياض ,34252095,2026/01/01,1447/07/12,سكني,1,"500,000",297.00
منطقة مكة المكرمه,جده,جده/ الرياض ,34259698,2026/01/01,1447/07/12,سكني,1,"800,000",200.00
منطقة مكة المكرمه,جده,جده/ الرياض ,34256995,2026/01/01,1447/07/12,سكني,1,"700,000",625.00
منطقة مكة المكرمه,جده,جده/ الرياض ,34245311,2026/01/01,1447/07/12,سكني,1,"800,000",900.00
منطقة الشرقية,الدمام,الدمام/ الزهور ,34254563,2026/01/01,1447/07/12,سكني,1,"1,000,000",625.00
منطقة الشرقية,الخبر,الخبر/ التحلية ,34250493,2026/01/01,1447/07/12,سكني,1,"220,000",213.57
منطقة المدينة المنوره,المدينة المنورة,المدينة المنورة/ حى الجماوات ,34250569,2026/01/01,1447/07/12,سكني,1,"765,000",169.24
منطقة مكة المكرمه,جده,جده/الربوه,34251795,2026/01/01,1447/07/12,سكني,1,"6,700,000",616.00
منطقة المدينة المنوره,المدينة المنورة,المدينة المنورة/ المزين ,34251563,2026/01/01,1447/07/12,زراعي,1,"2,000,000","20,173.43"
منطقة المدينة المنوره,المدينة المنورة,المدينة المنورة/ الرانوناء ,34251663,2026/01/01,1447/07/12,سكني,1,"500,000",417.75
منطقة المدينة المنوره,المدينة المنورة,المدينة المنورة/ الخضراء ,34249635,2026/01/01,1447/07/12,سكني,1,"480,000",664.27
منطقة عسير,تثليت,تثليت/ 110  1427  ع  9 ,34252341,2026/01/01,1447/07/12,سكني,1,"20,000",600.00
منطقة الرياض,الدوادمي,الدوادمي/أخرى,34252103,2026/01/01,1447/07/12,زراعي,1,"50,000","36,783.00"
منطقة الرياض,الرياض,الرياض/لبن,34245306,2026/01/01,1447/07/12,سكني,1,"450,000",234.07
منطقة الرياض,الرياض,الرياض/نمار,34252057,2026/01/01,1447/07/12,سكني,1,"525,000",375.00
منطقة الرياض,الرياض,الرياض/نمار,34252450,2026/01/01,1447/07/12,سكني,1,"540,000",350.00
منطقة الباحة,العقيق,العقيق/ المطار ,34246123,2026/01/01,1447/07/12,سكني,1,"300,000",675.00
منطقة مكة المكرمه,مكة المكرمة,مكة المكرمة/ المسفلة حارة الاشراف ,34147121,2026/01/01,1447/07/12,سكني,1,"763,889",950.35
منطقة جازان,العارضه,العارضه/ سالب ,34250947,2026/01/01,1447/07/12,سكني,1,"5,000","11,526.00"
منطقة الرياض,وادي الدواسر,وادي الدواسر/ الورود ,34245973,2026/01/01,1447/07/12,سكني,1,"100,000",810.60
منطقة جازان,العارضه,العارضه/أخرى,34250918,2026/01/01,1447/07/12,سكني,1,"5,000","12,223.91"
منطقة جازان,العارضه,العارضه/ ربيه ,34250823,2026/01/01,1447/07/12,زراعي,1,"5,000","3,998.00"
منطقة جازان,العارضه,العارضه/ ربيه ,34250963,2026/01/01,1447/07/12,سكني,1,"5,000","12,511.58"
منطقة نجران,بدر الجنوب,بدر الجنوب/أخرى,34251994,2026/01/01,1447/07/12,سكني,1,"5,000",400.00
منطقة الرياض,الرياض,الرياض/الحزم,34251183,2026/01/01,1447/07/12,سكني,1,"441,655",130.26
منطقة الجوف,طبرجل,طبرجل/ النخيل ,34254831,2026/01/01,1447/07/12,سكني,1,"300,000",700.00
منطقة الرياض,الرياض,الرياض/الربوة,34258882,2026/01/01,1447/07/12,سكني,1,"1,115,599",313.70
منطقة الرياض,الرياض,الرياض/الربوة,34258433,2026/01/01,1447/07/12,سكني,1,"1,115,599",264.64
منطقة مكة المكرمه,الطائف,الطائف/ المليساء ,34257264,2026/01/01,1447/07/12,سكني,1,"760,000",196.00
منطقة مكة المكرمه,الطائف,الطائف/أخرى,34250530,2026/01/01,1447/07/12,سكني,1,"340,000",398.75
منطقة المدينة المنوره,المدينة المنورة,المدينة المنورة/ الصويدرة ,34246276,2026/01/01,1447/07/12,سكني,1,"65,000",315.00
منطقة حائل,الشنان,الشنان/ الشنان ,34262082,2026/01/01,1447/07/12,سكني,1,"5,000",500.00
منطقة حائل,الشنان,الشنان/ الشنان ,34247025,2026/01/01,1447/07/12,سكني,1,"5,000",500.00
منطقة حائل,الشنان,الشنان/ الشنان ,34261837,2026/01/01,1447/07/12,سكني,1,"5,000",500.00
منطقة الباحة,الباحه,الباحه/أخرى,34250462,2026/01/01,1447/07/12,سكني,1,"450,000","1,125.00"
منطقة الرياض,الرياض,الرياض/الروضة,34263266,2026/01/01,1447/07/12,سكني,1,"2,250,000",412.50
منطقة مكة المكرمه,الطائف,الطائف/ الرحبة ,34250991,2026/01/01,1447/07/12,سكني,1,"100,000",522.97
منطقة الرياض,الرياض,الرياض/الندوة,34260033,2026/01/01,1447/07/12,سكني,1,"800,000",258.46
منطقة الرياض,الرياض,الرياض/الوزارات,34252440,2026/01/01,1447/07/12,سكني,1,"2,000,000",225.00
منطقة حائل,الكهفه,الكهفه/ الشرفة ,34265505,2026/01/01,1447/07/12,سكني,1,"23,000",350.00
منطقة حائل,الكهفه,الكهفه/ الشرفة ,34246044,2026/01/01,1447/07/12,سكني,1,"23,000",350.00
منطقة مكة المكرمه,جده,جده/ السلامة ,34262508,2026/01/01,1447/07/12,سكني,1,"800,000",191.80
منطقة مكة المكرمه,جده,جده/ السلامة ,34259939,2026/01/01,1447/07/12,سكني,1,"390,000",114.66
منطقة جازان,بيش,بيش/ الصفا ,34245087,2026/01/01,1447/07/12,سكني,1,"560,000",568.74
منطقة جازان,بيش,بيش/ النهضة ,34256920,2026/01/01,1447/07/12,سكني,1,"2,000,000","1,752.74"
منطقة الرياض,الرياض,الرياض/العود,34262614,2026/01/01,1447/07/12,سكني,1,"1,300,000",400.00
منطقة الرياض,الرياض,الرياض/نمار,34259795,2026/01/01,1447/07/12,سكني,1,"525,000",300.00
منطقة الرياض,الرياض,الرياض/عتيقة,34262485,2026/01/01,1447/07/12,سكني,1,"230,000",133.60
منطقة الرياض,الدرعيه,الدرعيه/ عقرباء ,34250509,2026/01/01,1447/07/12,سكني,1,"627,000",652.26
منطقة الرياض,الدرعيه,الدرعيه/ عقرباء ,34244936,2026/01/01,1447/07/12,سكني,1,"2,200,000",550.00
منطقة الرياض,الرياض,الرياض/السويدى,34265818,2026/01/01,1447/07/12,سكني,1,"500,000",490.00
منطقة الشرقية,الدمام,الدمام/ القصور ,34245916,2026/01/01,1447/07/12,سكني,1,"730,000",162.54
منطقة مكة المكرمه,جده,جده/ النعيم ,34256782,2026/01/01,1447/07/12,سكني,1,"1,000,000",170.00
منطقة مكة المكرمه,جده,جده/ أم السلم ,34257714,2026/01/01,1447/07/12,سكني,1,"480,000",160.46
منطقة مكة المكرمه,جده,جده/ النزهة ,34265507,2026/01/01,1447/07/12,سكني,1,"250,000",63.13
منطقة مكة المكرمه,جده,جده/ النزهة ,34262563,2026/01/01,1447/07/12,سكني,1,"260,000",74.14
منطقة القصيم,بريده,بريده/ الشقة ,34245983,2026/01/01,1447/07/12,سكني,1,"185,063",693.12
منطقة مكة المكرمه,جده,جده/ السلامة ,34266063,2026/01/01,1447/07/12,سكني,1,"1,000,000",189.21
منطقة مكة المكرمه,جده,جده/ السلامة ,34265449,2026/01/01,1447/07/12,سكني,1,"722,222",178.21
منطقة مكة المكرمه,جده,جده/ السلامة ,34265534,2026/01/01,1447/07/12,سكني,1,"722,222",189.21
منطقة مكة المكرمه,جده,جده/ السلامة ,34264298,2026/01/01,1447/07/12,سكني,1,"722,222",212.54
منطقة مكة المكرمه,جده,جده/ السلامة ,34264763,2026/01/01,1447/07/12,سكني,1,"722,222",189.21
منطقة مكة المكرمه,جده,جده/ السلامة ,34264500,2026/01/01,1447/07/12,سكني,1,"722,222",189.21
منطقة مكة المكرمه,جده,جده/ السلامة ,34264890,2026/01/01,1447/07/12,سكني,1,"722,222",178.21
منطقة مكة المكرمه,جده,جده/ السلامة ,34265932,2026/01/01,1447/07/12,سكني,1,"583,333",178.21
منطقة مكة المكرمه,جده,جده/ السلامة ,34264103,2026/01/01,1447/07/12,سكني,1,"722,222",178.21
